2026-07-01 13:32:02, MOVE, v:1, k:fup@leds, mode:PICK
2026-07-01 13:33:24, MOVE, v:1, k:fup@leds, mode:BACK
2026-07-01 13:34:09, MOVE, v:1, k:fup@leds, mode:PICK
2026-07-01 13:35:52, MOVE, v:1, k:fup@leds, mode:PICK
2026-07-01 13:36:33, MOVE, v:1, k:fup@leds, mode:PICK
2026-07-01 13:37:49, MOVE, v:1, k:fup@leds, mode:PICK
2026-07-01 13:46:55, MOVE, v:1, k:fup@leds, mode:PICK
2026-07-01 13:47:05, MOVE, v:1, k:fup@leds, mode:EDIT
2026-07-01 13:56:38, MOVE, v:1, k:fup@leds, mode:EDIT
2026-07-01 13:57:47, MOVE, v:1, k:fup@leds, mode:EDIT
2026-07-01 14:05:51, MOVE, v:1, k:fup@leds, mode:EDIT
2026-07-01 14:10:39, MOVE, v:1, k:fup@leds, mode:EDIT
2026-07-01 14:16:38, MOVE, v:1, k:fup@leds, mode:EDIT
2026-07-01 14:20:21, MOVE, v:1, k:fup@leds, mode:EDIT
2026-07-01 14:26:41, MOVE, v:1, k:fup@leds, mode:EDIT
2026-07-01 14:28:32, MOVE, v:1, k:fup@leds, mode:EDIT
2026-07-01 14:40:59, MOVE, v:1, k:fup@leds, mode:BACK
2026-07-01 14:41:29, MOVE, v:1, k:fup@pizza, mode:PICK
2026-07-01 14:38:15, MOVE, v:1, k:fup@leds, mode:EDIT
2026-07-01 14:44:55, MOVE, v:1, k:fup@pizza, mode:BACK
2026-07-01 14:44:59, MOVE, v:1, k:fup@pedra_struct, mode:PICK
