2026-05-23 03:09:17, MOVE, v:1, k:fup@casais, mode:DOWN
2026-05-23 03:09:18, MOVE, v:1, k:fup@casais, mode:PICK
2026-05-23 03:09:17, MOVE, v:1, k:fup@casais, mode:EDIT
2026-05-23 03:09:17, MOVE, v:1, k:fup@casais, mode:EDIT
2026-05-23 03:12:35, MOVE, v:1, k:fup@casais, mode:EDIT
2026-05-23 03:32:52, MOVE, v:1, k:fup@casais, mode:EDIT
2026-05-23 03:35:48, MOVE, v:1, k:fup@casais, mode:EDIT
2026-05-23 03:40:19, EXEC, v:1, k:fup@casais, mode:FULL, size:18, fail:COMP
2026-05-23 03:42:51, MOVE, v:1, k:fup@casais, mode:BACK
2026-05-23 03:41:00, MOVE, v:1, k:fup@casais, mode:EDIT
2026-05-23 03:42:55, MOVE, v:1, k:fup@troco, mode:DOWN
2026-05-23 03:42:55, MOVE, v:1, k:fup@troco, mode:PICK
2026-05-23 03:45:39, MOVE, v:1, k:fup@troco, mode:BACK
2026-05-23 03:45:49, MOVE, v:1, k:fup@troco, mode:PICK
2026-05-23 03:47:27, MOVE, v:1, k:fup@troco, mode:BACK
2026-05-23 03:47:41, MOVE, v:1, k:fup@troco, mode:PICK
2026-05-23 03:42:55, MOVE, v:1, k:fup@troco, mode:EDIT
2026-05-23 03:42:55, MOVE, v:1, k:fup@troco, mode:EDIT
2026-05-23 03:46:51, MOVE, v:1, k:fup@troco, mode:EDIT
2026-05-23 03:48:40, MOVE, v:1, k:fup@troco, mode:BACK
2026-05-23 03:49:00, MOVE, v:1, k:fup@troco, mode:PICK
2026-05-23 03:49:02, MOVE, v:1, k:fup@troco, mode:BACK
2026-05-23 03:49:21, MOVE, v:1, k:fup@troco, mode:PICK
2026-05-23 03:52:52, MOVE, v:1, k:fup@troco, mode:EDIT
2026-05-23 03:56:57, MOVE, v:1, k:fup@troco, mode:BACK
2026-05-23 03:57:10, MOVE, v:1, k:fup@blackjack, mode:DOWN
2026-05-23 03:57:11, MOVE, v:1, k:fup@blackjack, mode:PICK
2026-05-23 03:56:51, MOVE, v:1, k:fup@troco, mode:EDIT
2026-05-23 03:57:10, MOVE, v:1, k:fup@blackjack, mode:EDIT
2026-05-23 03:57:10, MOVE, v:1, k:fup@blackjack, mode:EDIT
2026-05-23 03:57:28, MOVE, v:1, k:fup@blackjack, mode:EDIT
2026-05-23 04:03:24, MOVE, v:1, k:fup@blackjack, mode:BACK
2026-05-23 04:04:15, MOVE, v:1, k:fup@viciadas, mode:DOWN
2026-05-23 04:04:16, MOVE, v:1, k:fup@viciadas, mode:PICK
2026-05-23 04:04:15, MOVE, v:1, k:fup@viciadas, mode:EDIT
2026-05-23 04:04:15, MOVE, v:1, k:fup@viciadas, mode:EDIT
2026-05-23 04:12:53, MOVE, v:1, k:fup@viciadas, mode:BACK
2026-05-23 18:30:52, MOVE, v:1, k:fup@viciadas, mode:PICK
2026-05-23 18:32:56, MOVE, v:1, k:fup@viciadas, mode:BACK
2026-05-23 18:35:04, MOVE, v:1, k:fup@baruel, mode:DOWN
2026-05-23 18:35:05, MOVE, v:1, k:fup@baruel, mode:PICK
2026-05-23 18:35:04, MOVE, v:1, k:fup@baruel, mode:EDIT
2026-05-23 18:35:04, MOVE, v:1, k:fup@baruel, mode:EDIT
2026-05-23 18:39:58, MOVE, v:1, k:fup@baruel, mode:EDIT
2026-05-23 18:43:04, MOVE, v:1, k:fup@baruel, mode:EDIT
2026-05-23 18:50:42, MOVE, v:1, k:fup@baruel, mode:EDIT
2026-05-23 19:02:53, MOVE, v:1, k:fup@baruel, mode:BACK
2026-05-23 19:10:05, MOVE, v:1, k:fup@fila, mode:DOWN
2026-05-23 19:10:06, MOVE, v:1, k:fup@fila, mode:PICK
2026-05-23 19:10:04, MOVE, v:1, k:fup@fila, mode:EDIT
2026-05-23 19:10:05, MOVE, v:1, k:fup@fila, mode:EDIT
2026-05-23 19:14:59, MOVE, v:1, k:fup@fila, mode:EDIT
2026-05-23 19:18:05, MOVE, v:1, k:fup@fila, mode:EDIT
2026-05-23 19:28:41, MOVE, v:1, k:fup@fila, mode:EDIT
2026-05-23 19:40:48, EXEC, v:1, k:fup@fila, mode:FULL, size:18, fail:COMP
2026-05-23 19:40:51, MOVE, v:1, k:fup@fila, mode:BACK
2026-05-23 19:41:37, MOVE, v:1, k:fup@mediana, mode:DOWN
2026-05-23 19:41:38, MOVE, v:1, k:fup@mediana, mode:PICK
2026-05-23 19:44:45, MOVE, v:1, k:fup@mediana, mode:BACK
2026-05-23 19:41:37, MOVE, v:1, k:fup@mediana, mode:EDIT
2026-05-23 19:41:37, MOVE, v:1, k:fup@mediana, mode:EDIT
2026-05-23 19:45:13, MOVE, v:1, k:fup@revolta, mode:DOWN
2026-05-23 19:45:13, MOVE, v:1, k:fup@revolta, mode:PICK
2026-05-23 19:45:13, MOVE, v:1, k:fup@revolta, mode:EDIT
2026-05-23 19:45:13, MOVE, v:1, k:fup@revolta, mode:EDIT
2026-05-23 19:49:45, MOVE, v:1, k:fup@revolta, mode:EDIT
2026-05-23 19:53:30, EXEC, v:1, k:fup@revolta, mode:FULL, rate:100, size:26
2026-05-23 19:53:31, MOVE, v:1, k:fup@revolta, mode:BACK
2026-05-23 19:53:35, SELF, v:1, k:fup@revolta, self:1, rate:100
2026-05-23 19:54:26, MOVE, v:1, k:fup@jedi, mode:DOWN
2026-05-23 19:54:28, MOVE, v:1, k:fup@jedi, mode:PICK
2026-05-23 19:53:26, MOVE, v:1, k:fup@revolta, mode:EDIT
2026-05-23 19:53:30, MOVE, v:1, k:fup@revolta, mode:EDIT
2026-05-23 19:54:26, MOVE, v:1, k:fup@jedi, mode:EDIT
2026-05-23 19:54:26, MOVE, v:1, k:fup@jedi, mode:EDIT
2026-05-23 19:54:26, MOVE, v:1, k:fup@jedi, mode:EDIT
2026-05-23 19:56:57, MOVE, v:1, k:fup@jedi, mode:EDIT
2026-05-23 20:03:10, MOVE, v:1, k:fup@jedi, mode:BACK
2026-05-23 20:03:41, MOVE, v:1, k:fup@casamento, mode:DOWN
2026-05-23 20:03:42, MOVE, v:1, k:fup@casamento, mode:PICK
2026-05-23 20:03:41, MOVE, v:1, k:fup@casamento, mode:EDIT
2026-05-23 20:03:41, MOVE, v:1, k:fup@casamento, mode:EDIT
2026-05-23 20:04:37, MOVE, v:1, k:fup@casamento, mode:EDIT
